,Car,label
0,AM General Hummer SUV 2000,0
1,Acura RL Sedan 2012,1
2,Acura TL Sedan 2012,2
3,Acura TL Type-S 2008,3
4,Acura TSX Sedan 2012,4
5,Acura Integra Type R 2001,5
6,Acura ZDX Hatchback 2012,6
7,Aston Martin V8 Vantage Convertible 2012,7
8,Aston Martin V8 Vantage Coupe 2012,8
9,Aston Martin Virage Convertible 2012,9
10,Aston Martin Virage Coupe 2012,10
11,Audi RS 4 Convertible 2008,11
12,Audi A5 Coupe 2012,12
13,Audi TTS Coupe 2012,13
14,Audi R8 Coupe 2012,14
15,Audi V8 Sedan 1994,15
16,Audi 100 Sedan 1994,16
17,Audi 100 Wagon 1994,17
18,Audi TT Hatchback 2011,18
19,Audi S6 Sedan 2011,19
20,Audi S5 Convertible 2012,20
21,Audi S5 Coupe 2012,21
22,Audi S4 Sedan 2012,22
23,Audi S4 Sedan 2007,23
24,Audi TT RS Coupe 2012,24
25,BMW ActiveHybrid 5 Sedan 2012,25
26,BMW 1 Series Convertible 2012,26
27,BMW 1 Series Coupe 2012,27
28,BMW 3 Series Sedan 2012,28
29,BMW 3 Series Wagon 2012,29
30,BMW 6 Series Convertible 2007,30
31,BMW X5 SUV 2007,31
32,BMW X6 SUV 2012,32
33,BMW M3 Coupe 2012,33
34,BMW M5 Sedan 2010,34
35,BMW M6 Convertible 2010,35
36,BMW X3 SUV 2012,36
37,BMW Z4 Convertible 2012,37
38,Bentley Continental Supersports Conv. Convertible 2012,38
39,Bentley Arnage Sedan 2009,39
40,Bentley Mulsanne Sedan 2011,40
41,Bentley Continental GT Coupe 2012,41
42,Bentley Continental GT Coupe 2007,42
43,Bentley Continental Flying Spur Sedan 2007,43
44,Bugatti Veyron 16.4 Convertible 2009,44
45,Bugatti Veyron 16.4 Coupe 2009,45
46,Buick Regal GS 2012,46
47,Buick Rainier SUV 2007,47
48,Buick Verano Sedan 2012,48
49,Buick Enclave SUV 2012,49
50,Cadillac CTS-V Sedan 2012,50
51,Cadillac SRX SUV 2012,51
52,Cadillac Escalade EXT Crew Cab 2007,52
53,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,53
54,Chevrolet Corvette Convertible 2012,54
55,Chevrolet Corvette ZR1 2012,55
56,Chevrolet Corvette Ron Fellows Edition Z06 2007,56
57,Chevrolet Traverse SUV 2012,57
58,Chevrolet Camaro Convertible 2012,58
59,Chevrolet HHR SS 2010,59
60,Chevrolet Impala Sedan 2007,60
61,Chevrolet Tahoe Hybrid SUV 2012,61
62,Chevrolet Sonic Sedan 2012,62
63,Chevrolet Express Cargo Van 2007,63
64,Chevrolet Avalanche Crew Cab 2012,64
65,Chevrolet Cobalt SS 2010,65
66,Chevrolet Malibu Hybrid Sedan 2010,66
67,Chevrolet TrailBlazer SS 2009,67
